"filename", "language", "YAML", "Markdown", "C++", "CMake", "Swift", "XML", "Dart", "JSON", "Properties", "Gradle", "comment", "blank", "total"
"d:\Print In Progress Company\edconnect_admin\lib\core\interfaces\theme_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 11, 13, 45
"d:\Print In Progress Company\edconnect_admin\lib\core\interfaces\user_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 6, 9, 28
"d:\Print In Progress Company\edconnect_admin\lib\core\models\app_theme.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 7, 46
"d:\Print In Progress Company\edconnect_admin\lib\core\models\app_user.dart", "Dart", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 11, 16, 170
"d:\Print In Progress Company\edconnect_admin\lib\core\providers\interface_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 6, 29
"d:\Print In Progress Company\edconnect_admin\lib\core\utils\crypto_utils.dart", "Dart", 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 14, 26, 128
"d:\Print In Progress Company\edconnect_admin\lib\core\validation\base_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\Print In Progress Company\edconnect_admin\lib\core\validation\validators\registration_field_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 61
"d:\Print In Progress Company\edconnect_admin\lib\core\validation\validators\registration_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"d:\Print In Progress Company\edconnect_admin\lib\core\validation\validators\text_field_validator.dart", "Dart", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 10, 72
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\auth_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 15, 14, 45
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\firebase\firebase_auth_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 23, 124
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\firebase\firebase_group_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 13, 30, 167
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\firebase\firebase_storage_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 3, 21, 127
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\firebase\firebase_theme_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 6, 30
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\firebase\firebase_user_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 15, 40, 334
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\group_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 11, 11, 40
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\local\shared_prefs_theme_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 13, 80
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\storage_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\theme_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 12, 13, 42
"d:\Print In Progress Company\edconnect_admin\lib\data\datasource\user_data_source.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 8, 32
"d:\Print In Progress Company\edconnect_admin\lib\data\providers\data_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 4, 18
"d:\Print In Progress Company\edconnect_admin\lib\data\providers\datasource_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 7, 7, 56
"d:\Print In Progress Company\edconnect_admin\lib\data\providers\repository_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 5, 7, 58
"d:\Print In Progress Company\edconnect_admin\lib\data\repositories\firebase_auth_repositories_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 341, 0, 0, 0, 20, 46, 407
"d:\Print In Progress Company\edconnect_admin\lib\data\repositories\firebase_group_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 17, 169
"d:\Print In Progress Company\edconnect_admin\lib\data\repositories\firebase_storage_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 10, 117
"d:\Print In Progress Company\edconnect_admin\lib\data\repositories\firebase_user_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 1, 14, 128
"d:\Print In Progress Company\edconnect_admin\lib\data\repositories\navigation_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 188, 0, 0, 0, 13, 15, 216
"d:\Print In Progress Company\edconnect_admin\lib\data\repositories\theme_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 6, 19, 108
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\group.dart", "Dart", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 2, 5, 47
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\media_selection_options.dart", "Dart", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\navigation_item.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 4, 23
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\permissions.dart", "Dart", 0, 0, 0, 0, 0, 0, 141, 0, 0, 0, 15, 21, 177
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\registration_fields.dart", "Dart", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 7, 85
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\registration_request.dart", "Dart", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\storage_file.dart", "Dart", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"d:\Print In Progress Company\edconnect_admin\lib\domain\entities\storage_module.dart", "Dart", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\Print In Progress Company\edconnect_admin\lib\domain\providers\service_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 5, 6, 43
"d:\Print In Progress Company\edconnect_admin\lib\domain\providers\usecase_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 3, 14, 74
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\auth_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 7, 25
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\current_user_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\group_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 5, 14, 58
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\navigation_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 6, 10, 46
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\pdf_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 1, 2, 204
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\permission_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 3, 7, 69
"d:\Print In Progress Company\edconnect_admin\lib\domain\services\url_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
